aafkagh-,to burst
esghaghtugh-,to take a good look at (the target)
esghagh-,to open one's eyes; to see
esghaghwaagh-,to have visions; to have hallucinations; to look carefully at something
esghalluug-,to angrily look at someone 
esghapagsagh-,to show off
esghapag-,to watch; to look at
esghapiqu-,to look or act haughty or arrogant
esghaqagh-,to glance at; to open one's eyes briefly
esghaqu-,to look around now and then for (it)
esiqaghte-,to splash
esiqghute-,to toss out liquid
esiqghuute-,to splash when hitting the water hard
eskiitiinga-,to ice-skate
eslakeraagh-,to hesitate due to bad weather
eslallekerghagh-,to rain only a little
eslallugughte-,to rain
eslaneghsite-,to improve the weather through shamanism
eslaniigh-,to deal with the weather
eslasugnite-,to be sky-blue
eslege-,to be stout; thick in diameter
esleqe-,to fill up full ; to become full (of the moon)
esleqnga-,to be full; to be full (of the moon)
eslugh-,to go south; to travel with the wind
esnegrakegte-,to be very dark in color
esneli-,to prepare edge of walrus skin for splitting
esnevagh-,to approach the coast from the sea
esnighagh-,to squirt; to flow out forcefully
esnighqwagh-,to beachcomb
esnighte-,to go along the shore; to beachcomb; to walk around
esnigh-,to bruise
esni-,to prepare edge of walrus skin for splitting
esquughqe-,to be covered with mosquito bites
estaaghagh-,to slide down repeatedly
esteggaghte-,to get a blister; to scrape a layer off a layer of one's skin
esteg-,to delaminate; to peel off in layers; to skin (it – not carcass); to slide down (of pants, socks, etc.)
esteqe-,to persevere; to endure; to tense muscles and keep them tensed
este-,to leak air (out); to deflate
estugigh-,to trim one's nails
estugmig-,to scratch with fingernails; to protect using the claws; to beat with hoofs
estulgha-,to go forward fast especially when sliding downward
estullugte-,to tie knot at the end of a rope to keep it from slipping out of something
estu-,to slide
evelegtagh-,to vibrate; to bounce
evlegh-,to shimmer; to glitter; to be shiny
evleqegte-,to be shiny
gaagh-,to cook
gagsawi-,to be in a hurry
gaymaangike-,to be able to do something (?)
gaymaangitke-,to probably be continuing despite anything; to use wastefully
gaymaawi-,to be completely engrossed in what one is doing; to use something extravagantly; to enjoy life; to live in satisfaction
gelgaghniigh-,to commit adultery
geve-,to render oil from fat; to compress; to slip one's mind
gevragh-,to ooze out
ggaagiite-,to become dull through long use
ggiighsi-,to be in pain from a wound
ggiightenge-,to hurt (of wound)
ggiinaghruugte-,to get a sick, tired expression; to frown at someone
ggiisaqu-,to keep on clenching one's the teeth (often of a polar bear)
ggiiste-,to clench one's teeth
gginaghlluugte-,to get a sick, tired expression; to frown at someone
gginaghsi-,to come to know or recognize (a person)
gginasaghqugh-,to look right in the eye; to come face to face with
gginasaghte-,to hit in the face or front
ggutangigh-,to lose a tooth (naturally or through extraction); to extract a tooth
gguusiqe-,to have a toothache
gguutngigh-,to lose a tooth (naturally or through extraction); to extract a tooth
ghemrug-,to envy another's success in hunting
ghemru-,to envy another's success in hunting
gheve-,to fade; to discolor; to calm down after anger; to have the dirt get washed out
ghevraag-,to be pale
ghhataghqe-,to peel off
ghhataghqugh-,to peel off
ghhatagh-,to lift off from the surface
ghhiighsagh-,to break in (machinery, vehicle, etc.)
ghhiigh-,to get broken in (of a new item)
ghhiitagh-,to pluck
ghhuughaghte-,to be washed away by high water
ghhuughagh-,to inhale and exhale forcefully; to pant
ghhuughpagtagh-,to puff up in various places; to bubble, to blister
ghhuugh-,to inflate
ghhuuligh-,to load (a gun)
ghhuute-,to be cold (of humans and animals)
ghhuu-,to freeze (to death); to die by freezing
ghhuuyugaghte-,to have chills going up and down the spine
ghhuuyugniighsagh-,to dress for the cold
ghhuuyug-,to feel chills as from illness
guughqe-,to bend over forward putting the head down
guughte-,to bend one's head down
guullaataqu-,to shoot very well; to catch lots of seals; to dance very well
guunniighnaqe-,to go out to hunt; to go out to pick a fight
guunniigh-,to shoot at game; to pick a fight with
guusagh-,to misfire; to fail to shoot
guuteste-,to start (engine)
guute-,to shoot; to dance or otherwise act vigorously; to start (engine)
ifkaghte-,to drop (accidentally or intentionally); to kill
ifkagh-,to fall from height; to drop (accidentally)
iflaaghwagh-,to lose consciousness; to faint; to feel faint; to pass out; to be incoherent; to be in a daze
ifla-,to lose; to get lost; to die
iflii-,to lose something; to suffer a loss through someone's death
igaghute-,to come to an agreement with someone
igagh-,to make a design; to write; to apply a tattoo; to go to school
igaghwaagh-,to scribble
igaghyagh-,to go to school
igamsiqanagh-,to make one thankful
igamsiqayug-,to feel thankful
igamsiqayugvike-,to feel thankful for
igaqe-,to write (it) down; to photograph
igaqragh-,to make a design or trim; to embroider
igaqugh-,to photograph several times
igarutaagh-,to drill a hole
igatagh-,to be hungry
igatiqe-,to suffer from hunger; to go hungry
igayughqe-,to eat lots on account of hunger or for enjoyment; to eat one's fill; to overeat; to gorge
iggaarqitaagh-,to rock back and forth
iggagpagtagh-,to rock
iggagrakegte-,to be steep; to be too slanted
iggagrakgite-,to not be steep
iggasighte-,to lie down supporting oneself on arm and elbow
ighaluqi-,to age auklets in seal oil
ighelleghyiqe-,to limp
ighileqitaagh-,to tickle
ighivagh-,for night to fall
ighi-,to flock; to be plentiful (birds)
ighivgaghsi-,to stay out late
ighlegite-,to be generous; to not hold back what one has; to not hesitate to give
ighlegtu-,to be stingy
ighlegute-,to refuse to give to (him)
ighleg-,to be stingy
ighleke-,to be possessive of; to be reluctant to part with; to refuse to give (it) away
ighlekuughte-,to absolutely refuse to allow to leave
ighlleghagh-,to keep on pushing
ighllegh-,to push; to shove
ighllute-,to push into
ighlluughagh-,to keep on probing or cleaning (as with a rifle-cleaning rod)
ighllu-,to insert something into a hole; to clean a gun barrel; to give an enema
ighlutku-,to chant in a quavering voice
ighneghlli-,to process and dry the intestines of walrus or bearded seal
ighni-,to give birth; for a rock to crack
ighsaghqe-,to completely come apart, break apart or take apart
ighsake-,to refuse (him, her, it)
ighsalqite-,to be anxious; to be worried
ighsanitagh-,to be lazy; to be disinclined to act
ighsani-,to refuse to do as told (from laziness or general disinclination)
ighsaqitagh-,to have a pounding, fluttering, or palpitating heart
ighsaqughllug-,to get or have heart trouble
ighsatagh-,to habitually refuse to do as told or asked (as from shyness, haughtiness, etc.)
ighsa-,to refuse
ighsayagute-,to get on one's nerves; to pester
ightugh-,to become soft through being flexed
ighungigh-,to injure the leg; to lose a leg through injury or amputation
ighwaaghte-,to injure the leg
ighwaaghtuute-,to lay and roll on the ground or in the snow (of dogs)
ighyaghqe-,to grimace
ighyagte-,to frown; to wail (of a baby)
igiighsagh-,to train physically; to work out (exercise)
igiigh-,to get in shape; to stand up straight; to get strong after an illness; to make up one's mind
igiilngagh-,to avoid bumping or being hit; to mistreat; to travel near a certain area
igiisnayiite-,to be sly; to be unpredictable in a threatening way; to be careless; to be untrustworthy
igiiterug-,to behave well
igiitusigate-,to be sneaky; to be underhanded
igilngagh-,to walk past something
igkamsug-,to stalk something
iglaghtu-,to be loud
iglagigh-,to untangle (hair, rope, etc.)
iglaglluugte-,to get or be hoarse
iglagrugtaagh-,to yodel
iglagtu-,to have or use a loud voice
iglagute-,to tangle
iglakegte-,to have a pleasant voice; to sing well
iglegha-,to be traveling; to be running (of machinery)
igleghte-,to travel; to move; to go; to start
igughi-,to stick up for someone; to defend someone verbally
igughpagte-,to jell rapidly
igughqe-,for rigor mortis to set in one
igughte-,to jell; to congeal; to stiffen
igugh-,to defend; to stick up for
igu-,to remove meat or other food from a pot after cooking
igyawiste-,to not have time
ihihihiyagh-,to groan
iiggeluughqe-,to contaminate by touching
iiggereghwaagh-,to dig for artifacts
iigge-,to dig
iighaate-,to play hide-and-seek
iighaghllug-,to get or have a swollen gland
iighaghtugh-,to hide from enemies
iighagh-,to get or have a swollen gland
iigharaagh-,to play hide-and-seek
iighhwaange-,to feel very frustrated; to have a hard time from frustration
iighsiigh-,to use a hoist on
iighsugh-,to hoist with rope
iigh-,to hide
iighwaghtute-,to lie around
iighwigh-,to become whole
iighwite-,to be whole; to not have given birth (yet)
iighwte-,to sip a liquid; for tide to go down or out; for tide to wash (it) out
iighwziig-,to inhale; for waves to go out
iigkaghagh-,to sneak up on; to tiptoe to; to creep up to
iigsagh-,to go digging (as for artifacts, auklets aged underground, or other buried items)
iigtugh-,to dig with intensity
iikaghagh-,to suddenly come undone; to come off by accident; to tiptoe
iike-,to remove; to unfasten
iiksigh-,for a piece of ice to partially detach from shore ice; to begin to detach
iilngigh-,to lose or extract a front tooth
iilqayagute-,to give up on
iilqayugigate-,to be perseverant
iilqayug-,to give up (and quit); to give up hope
iilqayuke-,to lack faith in (it)
iilqe-,to become sad
iilvagh-,to elevate; to honor; to hoist
iime-,to develop a hollow or depression
iimnga-,to have a depression in it
iinghute-,to warn
iingqaghyagh-,to catch by hooking
iingqighte-,to stab through a sea mammal's eye to kill it 
iingte-,to moult
iinqe-,to coo to a child; to say the customary made-up words, nonsense phrases, etc., used for that particular child to that child
iipgite-,to be dull
iipkegsighwaagh-,to tell jokes
iiqmig-,to put something in the mouth without eating it
iiskegte-,to have good eyes, good eyesight
iiskughte-,to guard; to watch out for
iisqaghmig-,to put (it) on one's shoulder
iisqiighute-,to slump down; to let one's shoulders droop
iisqughte-,to get a foreign object in one's eye
iitghute-,to bring in forcefully
iitqiinagh-,to just drop in (as for a short visit)
iitugh-,to dig with intensity
iivagh-,to fade away in the distance
iiw-,for tide to go down; low tide
iiyngite-,to be eyeless; to be blind
ikayugh-,to respond (positively) to; to go along or agree with; to help
ikayuqu-,to help; to be helpful
ikfiqe-,to have intense pain; to feel anguish; to be anxious; to long for or miss another
ikighte-,to open
ikiite-,to disappear (of a person)
iklagrugte-,to be somewhat clear up; to clean somewhat
iklagte-,to clean; to wash; to tidy up
iklungigh-,to insure; to safeguard
iknaqe-,to be strong (in any sense)
iknaqsuugte-,to feel stronger after an illness; to act as if one is stronger than others
iknaqughi-,to become stronger
iksiisigh-,to attach ice creeper to footwear
ikufkagh-,to quickly cut off a small piece; to cut off a small piece immediately
ikugh-,to remove; to cut off
ikumla-,to be okay; to be acceptable; to be suitable
ikute-,to cut off a piece (for)
ikuvike-,to cut off a piece (from)
ikuyegmig-,to bump or nudge with one's elbow
ikuyegtaagh-,to lean on one's elbow
ikuyegvike-,to put one's elbow on (it)
ikwegte-,to scratch (long) on the face
ilaagh-,to patch
ilagagh-,to sing
ilaligh-,to supplement
ilaliigh-,to make friends
ilamghi-,to want more
ilangghama-,to be good-natured
ilangghiite-,to not talk
ilangqughqu-,to get ice to melt for water
ilangqughrag-,to get coated or covered with ice
ilangqughsiigh-,to get ice to melt for water
ilangsiniigh-,to look for more; to try to get more
ilapga-,to comply with; to respond to; to help
