Qikmim Ilakumtaalleghpigaa

qikmim	qikmigh[N][Rel][Unpd][Sg]
aaplaataghaa	aapte-@₁~laatagh[V→V][V][Trns][Ind][3Sg][3Sg]
aaplaataghaa	aapte-@₁~flaatagh[V→V][V][Trns][Ind][3Sg][3Sg]

qerngaamtung	qerngagh-–ghte[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][PlPosd]
qerngaamtung	qerngagh-–ghte[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][SgPosd]
qerngaamtung	qerngagh-@₁~:(u)n[V→N][N][Rel][1DuPoss][PlPosd]
qerngaamtung	qerngagh-@₁~:(u)n[V→N][N][Rel][1DuPoss][SgPosd]
qerngaamtung	qerngagh-te[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][PlPosd]
qerngaamtung	qerngagh-te[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][SgPosd]
qerngaamtung	qerngagh-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][PlPosd]
qerngaamtung	qerngagh-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][SgPosd]
qerngaamtung	qerngagh*[Quant_Qual][1Du]

kiyaghteltung	kiyaghte[V][Intr][Opt][PRS][1Du]

------------------------


------------------------
Yugwem aangghaa.

aangghaa	angegh[V][Trns][Ind][3Sg][3Sg]

------------------------
Kiyaghtelqinaghlutek, ataasimi unugmi qikmiq sameng nagaquullaataghluni qilu­gumalghii.

kiyaghtelqinaghlutek	kiyaghte-–lqinagh[V→V][V][Intr][Sbrd][2Du]
kiyaghtelqinaghlutek	kiyaghte-–lqinagh[V→V][V][Intr][Sbrd][3Du]
kiyaghtelqinaghlutek	kiyaghte-–lqinagh[V→V][V][Trns][Sbrd][_][2Du]

ataasimi	aw-–tu[N→V]-aq[V→N][N][Abs][2PlPoss][PlPosd]-mi[Encl]
ataasimi	ata-te[N→V]-@₁~:(u)n[V→N][N][Abs][2PlPoss][PlPosd]-mi[Encl]
ataasimi	ata-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][2PlPoss][PlPosd]-mi[Encl]
ataasimi	ata-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][2PlPoss][PlPosd]-mi[Encl]
ataasimi	ataasigh[N][Loc][Unpd][Sg]
ataasimi	ataasigh[N][Rel][4SgPoss][PlPosd]
ataasimi	ataasigh[N][Rel][4SgPoss][SgPosd]

unugmi	unug[N][Abs][Unpd][Sg]-mi[Encl]
unugmi	unug[N][Loc][Unpd][Sg]
unugmi	unug[N][Rel][4SgPoss][PlPosd]
unugmi	unug[N][Rel][4SgPoss][SgPosd]

qikmiq	qikmigh[N][Abs][Unpd][Sg]

sameng	sa[N][Abl_Mod][Unpd][Sg]
sameng	sa[N][Rel][4DuPoss][PlPosd]
sameng	sa[N][Rel][4DuPoss][SgPosd]
sameng	sa[N][Rel][4PlPoss][PlPosd]
sameng	sa[N][Rel][4PlPoss][SgPosd]
sameng	sameng

nagaquullaataghluni	nagate-@₁qugh[V→V]-–ghte[V→V]-@₁~:(u)te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-–ghte[V→V]-@₁~:(u)te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-–ghte[V→V]-@₁~:(u)te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-–ghte[V→V]-@₁~:(u)te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-@₁~:(u)te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-@₁~:(u)te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-te[V→V]-@₁~:(u)te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-te[V→V]-@₁~:(u)te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-~:(u)te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-~:(u)te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-~:(u)te[V→N]-te[N→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-~:(u)te[V→N]-te[N→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-~:(ng₁)u[V→V]-te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-~:(ng₁)u[V→V]-te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-@₁~:(u)te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-@₁~:(u)te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-te[V→V]-@₁~:(u)te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-te[V→V]-@₁~:(u)te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-~:(u)te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-~:(u)te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-~:(u)te[V→N]-te[N→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-~:(u)te[V→N]-te[N→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-~:(ng₁)u[V→V]-te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-~:(ng₁)u[V→V]-te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagate-@₁qugh[to.V.completely]-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-–ghte[V→V]-@₁~:(u)te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-–ghte[V→V]-@₁~:(u)te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-@₁~:(u)te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-@₁~:(u)te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-te[V→V]-@₁~:(u)te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-te[V→V]-@₁~:(u)te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-~:(u)te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-~:(u)te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-~:(u)te[V→N]-te[N→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-~:(u)te[V→N]-te[N→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-~:(ng₁)u[V→V]-te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-~:(ng₁)u[V→V]-te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Intr][Sbrd][3Sg]
nagaquullaataghluni	nagaqugh-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Intr][Sbrd][3Sg]

------------------------
Yugwem kayemaa, "Takugu, takugu!

kayemaa	kayeme[V][Intr][Intrg][3Sg]
kayemaa	kayeme[V][Trns][Ind][3Sg][3Sg]
kayemaa	kayemugh[V][Intr][Opt][PRS][2Sg]

takugu	taku[V][Trns][Opt][PRS][2Sg][3Sg]

takugu	taku[V][Trns][Opt][PRS][2Sg][3Sg]

------------------------
Tugugu, tugugu!"

tugugu	tugu[V][Trns][Opt][PRS][2Sg][3Sg]

tugugu	tugu[V][Trns][Opt][PRS][2Sg][3Sg]

------------------------


------------------------
Qikmiq sumeghtaghaamalghii, "Yuuk ipa alingigatuq."

qikmiq	qikmigh[N][Abs][Unpd][Sg]

sumeghtaghaamalghii	sumeghtaghagh-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaamalghii	sumeghtaghagh-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaamalghii	sumeghtaghagh-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaamalghii	sumeghtaghagh-~:(ng₁)u[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaamalghii	sumegh-taq[N→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaamalghii	sumegh-taq[N→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaamalghii	sumegh-ta[N→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaamalghii	sumegh-ta[N→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

yuuk	yug[N][Abs][Sg]

ipa	ipa

alingigatuq	aw-–li[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]
alingigatuq	aw-–li[N→V]-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]
alingigatuq	alugh-––i[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]
alingigatuq	alugh-––i[N→V]-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]
alingigatuq	alegh-––i[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]
alingigatuq	alegh-––i[N→V]-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]
alingigatuq	aligh-––i[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]
alingigatuq	aligh-––i[N→V]-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]
alingigatuq	ali-–nge[N→V]-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]
alingigatuq	aligh-–nge[N→V]-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]
alingigatuq	alinge-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]

------------------------


------------------------
Qikmiq taawa alligsimalghii yugmi.

qikmiq	qikmigh[N][Abs][Unpd][Sg]

taawa	taawa

alligsimalghii	alligte-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
alligsimalghii	alligte-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

yugmi	yu(u)g[N][Abs][Unpd][Sg]-mi[Encl]
yugmi	yu(u)g[N][Loc][Unpd][Sg]
yugmi	yu(u)g[N][Rel][4SgPoss][PlPosd]
yugmi	yu(u)g[N][Rel][4SgPoss][SgPosd]
yugmi	yug[N][Abs][Unpd][Sg]-mi[Encl]
yugmi	yug[N][Loc][Unpd][Sg]
yugmi	yug[N][Rel][4SgPoss][PlPosd]
yugmi	yug[N][Rel][4SgPoss][SgPosd]

------------------------


------------------------
Tefaay!

tefaay	tefaay

------------------------
